Frequency;Current Noise
Hz;A/SQRT(Hz)
0;1.70E-10
0.48828;1.68E-13
0.97656;8.26E-14
1.46484;8.60E-14
1.95313;7.94E-14
2.44141;6.72E-14
2.92969;5.94E-14
3.41797;6.96E-14
3.90625;4.65E-14
4.39453;5.45E-14
4.88281;8.53E-14
5.37109;7.28E-14
5.85938;5.88E-14
6.34766;3.79E-14
6.83594;3.37E-14
7.32422;4.57E-14
7.8125;3.36E-14
8.30078;3.17E-14
8.78906;2.94E-14
9.27734;3.16E-14
9.76563;3.02E-14
10.2539;2.50E-14
10.7422;2.60E-14
11.2305;2.62E-14
11.7188;3.34E-14
12.207;2.44E-14
12.6953;3.17E-14
13.1836;1.86E-14
13.6719;2.79E-14
14.1602;2.09E-14
14.6484;3.08E-14
15.1367;2.09E-14
15.625;2.25E-14
16.1133;2.04E-14
16.6016;1.73E-14
17.0898;2.23E-14
17.5781;1.88E-14
18.0664;1.56E-14
18.5547;2.01E-14
19.043;1.79E-14
19.5313;2.08E-14
20.0195;1.36E-14
20.5078;2.42E-14
20.9961;1.79E-14
21.4844;1.45E-14
21.9727;1.79E-14
22.4609;1.74E-14
22.9492;1.29E-14
23.4375;1.65E-14
23.9258;1.40E-14
24.4141;1.59E-14
24.9023;1.69E-14
25.3906;1.30E-14
25.8789;1.73E-14
26.3672;1.87E-14
26.8555;1.50E-14
27.3438;1.57E-14
27.832;1.92E-14
28.3203;1.10E-14
28.8086;1.40E-14
29.2969;1.43E-14
29.7852;1.44E-14
30.2734;1.44E-14
30.7617;1.44E-14
31.25;1.31E-14
31.7383;1.43E-14
32.2266;1.61E-14
32.7148;9.07E-15
33.2031;1.30E-14
33.6914;1.36E-14
34.1797;1.33E-14
34.668;1.29E-14
35.1563;1.02E-14
35.6445;1.11E-14
36.1328;1.28E-14
36.6211;1.38E-14
37.1094;1.17E-14
37.5977;1.24E-14
38.0859;1.16E-14
38.5742;1.07E-14
39.0625;1.42E-14
39.5508;1.43E-14
40.0391;9.34E-15
40.5273;8.58E-15
41.0156;1.33E-14
41.5039;1.25E-14
41.9922;1.35E-14
42.4805;1.21E-14
42.9688;8.10E-15
43.457;1.23E-14
43.9453;1.44E-14
44.4336;2.50E-14
44.9219;2.33E-14
45.4102;3.93E-14
45.8984;2.68E-14
46.3867;1.73E-14
46.875;2.27E-14
47.3633;2.17E-14
47.8516;3.14E-14
48.3398;4.08E-14
48.8281;1.73E-13
49.3164;8.25E-14
49.8047;1.17E-13
50.293;6.38E-14
50.7813;2.72E-14
51.2695;3.76E-14
51.7578;2.63E-14
52.2461;1.73E-14
52.7344;2.36E-14
53.2227;1.46E-14
53.7109;1.38E-14
54.1992;9.82E-15
54.6875;1.78E-14
55.1758;1.76E-14
55.6641;1.54E-14
56.1523;1.49E-14
56.6406;2.77E-14
57.1289;4.32E-14
57.6172;2.20E-14
58.1055;2.10E-14
58.5938;3.85E-14
59.082;2.99E-14
59.5703;2.20E-14
60.0586;1.43E-14
60.5469;1.17E-14
61.0352;1.65E-14
61.5234;1.52E-14
62.0117;1.23E-14
62.5;1.88E-14
62.9883;1.77E-14
63.4766;1.86E-14
63.9648;1.88E-14
64.4531;1.56E-14
64.9414;2.03E-14
65.4297;2.11E-14
65.918;2.67E-14
66.4063;2.59E-14
66.8945;4.20E-14
67.3828;7.57E-14
67.8711;6.60E-14
68.3594;5.69E-14
68.8477;8.22E-14
69.3359;7.48E-14
69.8242;5.04E-14
70.3125;4.11E-14
70.8008;4.06E-14
71.2891;5.87E-14
71.7774;8.14E-14
72.2656;7.94E-14
72.7539;1.34E-13
73.2422;4.55E-13
73.7305;3.48E-13
74.2188;1.27E-13
74.707;8.11E-14
75.1953;5.61E-14
75.6836;3.88E-14
76.1719;4.00E-14
76.6602;2.97E-14
77.1484;2.53E-14
77.6367;2.27E-14
78.125;2.40E-14
78.6133;2.11E-14
79.1016;2.17E-14
79.5899;2.52E-14
80.0781;1.51E-14
80.5664;1.49E-14
81.0547;1.44E-14
81.543;1.50E-14
82.0313;1.29E-14
82.5195;1.46E-14
83.0078;1.34E-14
83.4961;1.38E-14
83.9844;1.31E-14
84.4727;1.61E-14
84.9609;1.44E-14
85.4492;1.19E-14
85.9375;1.21E-14
86.4258;1.42E-14
86.9141;9.20E-15
87.4024;1.32E-14
87.8906;1.54E-14
88.3789;8.77E-15
88.8672;1.03E-14
89.3555;1.30E-14
89.8438;8.11E-15
90.332;1.43E-14
90.8203;1.05E-14
91.3086;1.09E-14
